====================================================================================
CUTOFF SENSITIVITY SWEEP — DENOISED VARIANT
====================================================================================

Pipeline (per cell)
-------------------
  1. Build raw contrastive vectors at (layer L, cutoff K) from
     train-topic train-trial story means (positions K..N-1).
  2. Project them orthogonal to the top neutral PCs of the matching
     neutral corpus regime (V1 ← neutral_no_thinking story, V2 ←
     neutral_thinking thought, V3 ← neutral_thinking story).
     PC count per layer = smallest k such that cumulative variance
     explained ≥ 0.50 (matches compute_vectors.py:NEUTRAL_PC_VAR_TARGET).
  3. Classify topic-level holdout (topics 80-99) by argmax cosine.
  4. Drop cutoffs where >10% of training stories have <5 tokens
     remaining after applying K (low-data regime).

Raw and denoised numbers below come from the same training/holdout
file sets (same RNG-free deterministic file globs). The ONLY
difference is the project_out step on the contrastive vectors.

Neutral PC dimensionalities per layer (50%-variance cut):
  V1_no_thinking_full     L13: k=61  L17: k=78  L21: k=43  L25: k=70  L28: k=49  L32: k=43
  V2_thinking_thought     L13: k=36  L17: k=63  L21: k=44  L25: k=33  L28: k=36  L32: k=25
  V3_thinking_reply       L13: k=66  L17: k=81  L21: k=44  L25: k=72  L28: k=54  L32: k=44

====================================================================================
V1_no_thinking_full
====================================================================================

  Layer L13     (PCs projected out: 61)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.167 |    0.433    |  +0.266  |  61
  K=  5   |  0.167 |    0.416    |  +0.249  |  61
  K= 10   |  0.167 |    0.414    |  +0.247  |  61
  K= 15   |  0.167 |    0.432    |  +0.266  |  61
  K= 20   |  0.167 |    0.434    |  +0.268  |  61
  K= 25   |  0.167 |    0.448    |  +0.281  |  61
  K= 30   |  0.167 |    0.462    |  +0.296  |  61
  K= 35   |  0.167 |    0.477    |  +0.310  |  61
  K= 40   |  0.167 |    0.478    |  +0.312  |  61
  K= 45   |  0.167 |    0.472    |  +0.305  |  61
  K= 50   |  0.167 |    0.472    |  +0.306  |  61
  K= 55   |  0.168 |    0.462    |  +0.294  |  61
  K= 60   |  0.171 |    0.460    |  +0.289  |  61
  K= 65   |   DROP  |     DROP     |   DROP   |  --
  K= 70   |   DROP  |     DROP     |   DROP   |  --
  K= 75   |   DROP  |     DROP     |   DROP   |  --
  K= 80   |   DROP  |     DROP     |   DROP   |  --
  K= 85   |   DROP  |     DROP     |   DROP   |  --
  K= 90   |   DROP  |     DROP     |   DROP   |  --
  K= 95   |   DROP  |     DROP     |   DROP   |  --
  K=100   |   DROP  |     DROP     |   DROP   |  --

  Layer L17     (PCs projected out: 78)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.167 |    0.347    |  +0.181  |  78
  K=  5   |  0.167 |    0.350    |  +0.183  |  78
  K= 10   |  0.167 |    0.347    |  +0.181  |  78
  K= 15   |  0.167 |    0.369    |  +0.202  |  78
  K= 20   |  0.167 |    0.392    |  +0.225  |  78
  K= 25   |  0.167 |    0.397    |  +0.231  |  78
  K= 30   |  0.167 |    0.404    |  +0.237  |  78
  K= 35   |  0.169 |    0.406    |  +0.237  |  78
  K= 40   |  0.174 |    0.403    |  +0.229  |  78
  K= 45   |  0.190 |    0.414    |  +0.224  |  78
  K= 50   |  0.249 |    0.411    |  +0.161  |  78
  K= 55   |  0.248 |    0.420    |  +0.172  |  78
  K= 60   |  0.207 |    0.445    |  +0.237  |  78
  K= 65   |   DROP  |     DROP     |   DROP   |  --
  K= 70   |   DROP  |     DROP     |   DROP   |  --
  K= 75   |   DROP  |     DROP     |   DROP   |  --
  K= 80   |   DROP  |     DROP     |   DROP   |  --
  K= 85   |   DROP  |     DROP     |   DROP   |  --
  K= 90   |   DROP  |     DROP     |   DROP   |  --
  K= 95   |   DROP  |     DROP     |   DROP   |  --
  K=100   |   DROP  |     DROP     |   DROP   |  --

  Layer L21     (PCs projected out: 43)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.191 |    0.231    |  +0.039  |  43
  K=  5   |  0.207 |    0.233    |  +0.026  |  43
  K= 10   |  0.171 |    0.237    |  +0.066  |  43
  K= 15   |  0.167 |    0.238    |  +0.071  |  43
  K= 20   |  0.167 |    0.238    |  +0.072  |  43
  K= 25   |  0.167 |    0.240    |  +0.073  |  43
  K= 30   |  0.171 |    0.240    |  +0.069  |  43
  K= 35   |  0.199 |    0.243    |  +0.044  |  43
  K= 40   |  0.242 |    0.245    |  +0.003  |  43
  K= 45   |  0.251 |    0.251    |  +0.000  |  43
  K= 50   |  0.170 |    0.228    |  +0.058  |  43
  K= 55   |  0.195 |    0.218    |  +0.023  |  43
  K= 60   |  0.271 |    0.227    |  -0.043  |  43
  K= 65   |   DROP  |     DROP     |   DROP   |  --
  K= 70   |   DROP  |     DROP     |   DROP   |  --
  K= 75   |   DROP  |     DROP     |   DROP   |  --
  K= 80   |   DROP  |     DROP     |   DROP   |  --
  K= 85   |   DROP  |     DROP     |   DROP   |  --
  K= 90   |   DROP  |     DROP     |   DROP   |  --
  K= 95   |   DROP  |     DROP     |   DROP   |  --
  K=100   |   DROP  |     DROP     |   DROP   |  --

  Layer L25     (PCs projected out: 70)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.167 |    0.328    |  +0.161  |  70
  K=  5   |  0.167 |    0.344    |  +0.177  |  70
  K= 10   |  0.167 |    0.363    |  +0.197  |  70
  K= 15   |  0.167 |    0.371    |  +0.204  |  70
  K= 20   |  0.167 |    0.378    |  +0.212  |  70
  K= 25   |  0.167 |    0.379    |  +0.213  |  70
  K= 30   |  0.167 |    0.377    |  +0.211  |  70
  K= 35   |  0.167 |    0.382    |  +0.215  |  70
  K= 40   |  0.167 |    0.401    |  +0.234  |  70
  K= 45   |  0.167 |    0.406    |  +0.240  |  70
  K= 50   |  0.167 |    0.429    |  +0.262  |  70
  K= 55   |  0.166 |    0.440    |  +0.274  |  70
  K= 60   |  0.166 |    0.450    |  +0.284  |  70
  K= 65   |   DROP  |     DROP     |   DROP   |  --
  K= 70   |   DROP  |     DROP     |   DROP   |  --
  K= 75   |   DROP  |     DROP     |   DROP   |  --
  K= 80   |   DROP  |     DROP     |   DROP   |  --
  K= 85   |   DROP  |     DROP     |   DROP   |  --
  K= 90   |   DROP  |     DROP     |   DROP   |  --
  K= 95   |   DROP  |     DROP     |   DROP   |  --
  K=100   |   DROP  |     DROP     |   DROP   |  --

  Layer L28     (PCs projected out: 49)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.167 |    0.316    |  +0.149  |  49
  K=  5   |  0.167 |    0.327    |  +0.160  |  49
  K= 10   |  0.167 |    0.346    |  +0.179  |  49
  K= 15   |  0.167 |    0.355    |  +0.188  |  49
  K= 20   |  0.167 |    0.359    |  +0.192  |  49
  K= 25   |  0.167 |    0.352    |  +0.185  |  49
  K= 30   |  0.167 |    0.354    |  +0.188  |  49
  K= 35   |  0.167 |    0.357    |  +0.190  |  49
  K= 40   |  0.167 |    0.352    |  +0.186  |  49
  K= 45   |  0.168 |    0.367    |  +0.199  |  49
  K= 50   |  0.168 |    0.366    |  +0.198  |  49
  K= 55   |  0.169 |    0.364    |  +0.195  |  49
  K= 60   |  0.179 |    0.359    |  +0.180  |  49
  K= 65   |   DROP  |     DROP     |   DROP   |  --
  K= 70   |   DROP  |     DROP     |   DROP   |  --
  K= 75   |   DROP  |     DROP     |   DROP   |  --
  K= 80   |   DROP  |     DROP     |   DROP   |  --
  K= 85   |   DROP  |     DROP     |   DROP   |  --
  K= 90   |   DROP  |     DROP     |   DROP   |  --
  K= 95   |   DROP  |     DROP     |   DROP   |  --
  K=100   |   DROP  |     DROP     |   DROP   |  --

  Layer L32     (PCs projected out: 43)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.167 |    0.243    |  +0.076  |  43
  K=  5   |  0.167 |    0.248    |  +0.081  |  43
  K= 10   |  0.167 |    0.256    |  +0.089  |  43
  K= 15   |  0.167 |    0.258    |  +0.091  |  43
  K= 20   |  0.167 |    0.264    |  +0.098  |  43
  K= 25   |  0.167 |    0.268    |  +0.102  |  43
  K= 30   |  0.167 |    0.270    |  +0.103  |  43
  K= 35   |  0.167 |    0.279    |  +0.112  |  43
  K= 40   |  0.167 |    0.276    |  +0.109  |  43
  K= 45   |  0.167 |    0.285    |  +0.118  |  43
  K= 50   |  0.167 |    0.301    |  +0.134  |  43
